"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"15338","ko","1898 명동성당 ","https://korean.visitseoul.net/attractions/1898-명동성당/KOP015338?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP015338","100-809 서울 중구 명동2가 1-1 ","04537 서울 중구 명동길 74 (명동2가, 명동성당) ","02-727-2332","","https://1898.catholic.or.kr/plaza.asp","09:00~22:00","","설날, 추석 당일 (성당사무실: 월요일 휴무)","지하철 2/3호선 을지로 3가역 12번 출구,  403m 지하철 4호선 명동역 10번 출구,  425m","복합문화공간, 고딕, 1898광장,명동,명동대성당,명동나들이,성당",""
"23532","ko","SeMA 벙커 ","https://korean.visitseoul.net/attractions/SeMAbunker/KOP023532?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023532","150-010 서울 영등포구 여의도동 2-6 ","07327 서울 영등포구 의사당대로 지하 101 (여의도역) ","02-2124-8946","","https://sema.seoul.go.kr/","화요일 ~ 금요일 10:00 - 20:00 토요일?공휴일 10:00 - 19:00","화요일 ~ 일요일","매주 월요일 2024/8/31~2024/12/31까지 운영중단","5,9호선 여의도역 3번 출구에서 약 460m (도보 6분) ","방공호,서울시립미술관, 역사갤러리,서울여행, 벙커, 여의도역, 여의도환승센터, 전시, 지하벙커,복합문화예술공간, 서울,여의도공원,비밀벙커, 여의도, SeMABunker, SeMA벙커",""
"252","ko","63스퀘어","https://korean.visitseoul.net/attractions/63스퀘어/KOP000210?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000210","150-763 서울 영등포구 여의도동 60 ","07345 서울 영등포구 63로 50 (여의도동, 63한화생명빌딩) ","1833-7001","","","임시휴업","","임시휴업","지하철 9호선/ 신림선 샛강역 3번 출구,  1.2km","아쿠아리움,63아쿠아플라넷, 63빌딩전망대, 63아트,63빌딩,데이트코스,63빌딩레스토랑,전망대,63스퀘어,여의도","장애인화장실,장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"2885","ko","PKM갤러리","https://korean.visitseoul.net/attractions/PKM갤러리/KOP002885?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002885","110-230 서울 종로구 삼청동 157-83 ","03049 서울 종로구 삼청로7길 40 (삼청동, 피케이엠 갤러리) ","02-734-9467","","http://www.pkmgallery.com/","10:00 ~ 18:00 ","화요일 ~ 일요일","월요일 ","지하철 3호선 안국역 1번 출구,  1.2km"," 회화, 화랑,한옥, 안국역, 갤러리투어, 미술관,삼청동갤러리, 조각, 윈도우갤러리, 영상,광화문, PKM갤러리",""
"37879","ko","HYBE INSIGHT (하이브 뮤지엄)","https://korean.visitseoul.net/attractions/HYBE-INSIGHT/KOP037879?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP037879"," 서울 용산구 한강로3가 65-9 ","04389 서울 용산구 한강대로 42 (한강로3가, 용산트레이드센터) 하이브 인사이트 지하 1, 2층","","","https://hybeinsight.com","11:00 ~ 21:00 (입장 마감 18:55)","화~일","월요일","4호선 신용산역 2번 출구에서 569m","서울,bts,방탄소년단,엔터테인먼트,BTS,HYBEINSIGHT,하이브인사이트뮤지엄,방탄소년단전시,이촌가볼만한곳,이촌역,하이브뮤지엄,복합문화공간",""
"24732","ko","SJ쿤스트할레","https://korean.visitseoul.net/attractions/SJ-KUNSTHALLE-kr/KOP024732?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024732","135-819 서울 강남구 논현동 97-22 ","06054 서울 강남구 언주로148길 5 (논현동) ","0507-1402-9722","","http://sjkunsthalle.com/","평일 09:00 - 18:00 대관문의 평일 11:00 - 22:00 카페 평일 11:00 - 18:00 피규어갤러리(JDstudio)","월요일~일요일","","지하철 수인분당선/7호선 강남구청역 3번 출구,  1km ","압구정로데오거리, SJ쿤스트할레, 시티투어버스정류장,문화예술플랫품, 강남구청역,타이거버스",""
"44032","ko","만나분식","https://korean.visitseoul.net/attractions/202303/KOPu5th9n?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPu5th9n","  ","06284 서울 강남구 삼성로 212 (대치동, 은마아파트) ","02-557-7040","","","매일 10:00 ~ 20:00","","매달 1, 3번째 일요일 정기 휴무 & 2, 4번째 월요일 휴무","3호선 대치역 3번 출구에서 10m"," 떡볶이, 은마상가,분식, 대치동,오래가게, 강남, 떡꼬치",""
"24706","ko","만나분식","https://korean.visitseoul.net/attractions/Manna-Bunsik-kr/KOP024706?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024706","  ","03039 서울 종로구 필운대로1길 4 1층 ","0507-1361-0937","","","매일 10:00 ~ 20:00","","매달 1, 3번째 일요일 정기 휴무 & 2, 4번째 월요일 휴무","3호선 경복궁역 1번 출구에서 407m"," 떡볶이,오래가게, 분식, 통인시장, 서촌, 효자동, 떡튀김",""
"1005","ko","가무","https://korean.visitseoul.net/attractions/가무/KOP001005?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001005","  ","04536 서울 중구 명동4길 16 ","02-776-3141","","","11:00~23:00","매일","없음","4호선 명동역 6번 출구에서 320m","오래가게, 카페, 비엔나커피, 명동대성당, 앤티크, 명동",""
"29238","ko","서울메트로미술관","https://korean.visitseoul.net/attractions/서울메트로미술관/KOP029238?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029238"," 서울 종로구 적선동 81-1 ","03170 서울 종로구 사직로 지하 130 (적선동, 3호선 경복궁역) ","1577-1234","","https://www.seoulmetro.co.kr:444/kr/rent.do?menuIdx=394","매일 7:00~22:00","","","3호선 경복궁역 6번 출구","문화공간, 공공미술관, 대관, 미술작품, 지하철역, 경복궁역, 전통,서울메트로미술관, 경복궁,전시,미술관",""
